student_key,course_key,snapshot_date,academic_period_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,top_material_type,no_activity_flag,risk_label
148,1,2026-07-07,2,101,21,18,44,17,4.809523809523809,33.666666666666664,0.16831683168316833,0.43564356435643564,26,38,34,3,0,Assignment,0,1
149,1,2026-07-07,2,166,22,35,63,9,7.545454545454546,52.81818181818182,0.05421686746987952,0.3795180722891566,14,126,26,0,0,Assignment,0,0
150,1,2026-07-07,2,94,25,13,25,20,3.76,26.32,0.2127659574468085,0.26595744680851063,23,27,40,0,0,Course Page,0,0
151,1,2026-07-07,2,54,13,13,27,10,4.153846153846154,29.076923076923077,0.18518518518518517,0.5,15,10,28,0,0,Course Page,0,1
152,1,2026-07-07,2,203,24,18,118,43,8.458333333333334,59.208333333333336,0.21182266009852216,0.5812807881773399,33,76,87,1,0,Course Page,0,1
153,1,2026-07-07,2,92,22,13,66,15,4.181818181818182,29.272727272727273,0.16304347826086957,0.717391304347826,23,60,8,0,0,Assignment,0,1
154,1,2026-07-07,2,220,28,33,152,39,7.857142857142857,55.0,0.17727272727272728,0.6909090909090909,44,42,115,2,0,Course Page,0,1
155,1,2026-07-07,2,8,3,4,6,0,2.6666666666666665,18.666666666666668,0.0,0.75,2,2,4,0,0,Course Page,0,1
156,1,2026-07-07,2,75,18,14,9,6,4.166666666666667,29.166666666666664,0.08,0.12,17,26,30,2,0,Course Page,0,1
157,1,2026-07-07,2,96,15,19,45,10,6.4,44.800000000000004,0.10416666666666667,0.46875,27,15,50,0,0,Course Page,0,1
158,1,2026-07-07,2,48,9,8,11,2,5.333333333333333,37.33333333333333,0.041666666666666664,0.22916666666666666,4,14,29,0,0,Course Page,0,1
159,1,2026-07-07,2,47,6,9,5,0,7.833333333333333,54.833333333333336,0.0,0.10638297872340426,7,23,17,0,0,Assignment,0,1
160,1,2026-07-07,2,101,14,10,6,21,7.214285714285714,50.5,0.2079207920792079,0.0594059405940594,17,36,46,0,0,Course Page,0,1
161,1,2026-07-07,2,134,17,14,58,40,7.882352941176471,55.1764705882353,0.29850746268656714,0.43283582089552236,20,40,70,4,0,Course Page,0,1
162,1,2026-07-07,2,71,12,16,35,14,5.916666666666667,41.41666666666667,0.19718309859154928,0.49295774647887325,11,25,30,1,0,Course Page,0,1
163,1,2026-07-07,2,170,21,27,118,58,8.095238095238095,56.666666666666664,0.3411764705882353,0.6941176470588235,21,120,27,0,0,Assignment,0,1
164,1,2026-07-07,2,16,7,4,15,8,2.2857142857142856,16.0,0.5,0.9375,0,2,13,0,0,Course Page,0,1
165,1,2026-07-07,2,38,9,10,5,12,4.222222222222222,29.555555555555554,0.3157894736842105,0.13157894736842105,13,9,16,0,0,Course Page,0,1
166,1,2026-07-07,2,12,7,2,7,7,1.7142857142857142,12.0,0.5833333333333334,0.5833333333333334,0,7,5,0,0,Assignment,0,1
167,1,2026-07-07,2,14,5,6,12,3,2.8,19.599999999999998,0.21428571428571427,0.8571428571428571,3,2,8,1,0,Course Page,0,1
168,1,2026-07-07,2,103,6,13,6,32,17.166666666666668,120.16666666666667,0.3106796116504854,0.05825242718446602,37,21,45,0,0,Course Page,0,1
169,1,2026-07-07,2,2,1,2,0,0,2.0,14.0,0.0,0.0,0,0,1,1,0,Course Page,0,1
170,1,2026-07-07,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,No Activity,1,1
171,1,2026-07-07,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,No Activity,1,1
